2020-06-06,Alameda,California,06001,3826,104
#2020-06-06,Butte,California,06007,65,1
2020-06-06,Contra Costa,California,06013,1633,38
2020-06-06,Fresno,California,06019,2122,43
2020-06-06,Kern,California,06029,2660,46
2020-06-06,Los Angeles,California,06037,62338,2620
2020-06-06,Monterey,California,06053,667,10
2020-06-06,Orange,California,06059,7391,176
2020-06-06,Placer,California,06061,275,9
2020-06-06,Riverside,California,06065,8777,355
2020-06-06,Sacramento,California,06067,1536,59
2020-06-06,San Bernardino,California,06071,6040,224
2020-06-06,San Diego,California,06073,8408,312
2020-06-06,San Francisco,California,06075,2715,43
2020-06-06,San Joaquin,California,06077,1118,37
2020-06-06,San Mateo,California,06081,2331,88
2020-06-06,Santa Barbara,California,06083,1795,15
2020-06-06,Santa Clara,California,06085,2920,145
2020-06-06,Shasta,California,06089,42,4
2020-06-06,Solano,California,06095,571,23
2020-06-06,Sonoma,California,06097,642,4
2020-06-06,Stanislaus,California,06099,865,33
2020-06-06,Tulare,California,06107,2180,92
2020-06-06,Ventura,California,06111,1274,35
